Transaction ID,Sales Date,Product Name,Category,Store,Region,Quantity,Sales Value,Cost,Sales Target
TX2501014949,2025-01-01,Russians,Processed,Johannesburg,Gauteng,15,688.32,388.3,753.8
TX2501018556,2025-01-01,Lamb Stew,RTE,Nelspruit,Mpumalanga,10,1059.09,641.41,1149.49
TX2501016794,2025-01-01,Chicken Wings,Fresh,Nelspruit,Mpumalanga,17,929.71,543.03,939.86
TX2501012486,2025-01-01,Rump Steak,Fresh,Polokwane,Limpopo,16,2188.44,1320.02,2394.46
TX2501019037,2025-01-01,Russians,Processed,Pretoria,Gauteng,9,392.63,243.43,356.81
TX2501014299,2025-01-01,Pork Chops,Fresh,Polokwane,Limpopo,14,1118.73,669.98,1089.75
TX2501015225,2025-01-01,Rump Steak,Fresh,Polokwane,Limpopo,17,2210.07,1373.24,2089.36
TX2501016667,2025-01-01,Pork Chops,Fresh,Johannesburg,Gauteng,15,1208.92,721.55,1289.26
TX2501018242,2025-01-01,Lamb Stew,RTE,Pretoria,Gauteng,12,1292.06,842.91,1198.97
TX2501018022,2025-01-01,Russians,Processed,Polokwane,Limpopo,12,555.49,364.28,586.68
TX2501015129,2025-01-01,Lamb Stew,RTE,Johannesburg,Gauteng,8,848.3,481.14,876.87
TX2501016170,2025-01-01,Lamb Stew,RTE,Pretoria,Gauteng,3,338.74,214.43,342.75
TX2501013735,2025-01-01,Lamb Stew,RTE,Nelspruit,Mpumalanga,10,1093.04,636.35,1073.04
TX2501018700,2025-01-01,Rump Steak,Fresh,Nelspruit,Mpumalanga,6,774.22,459.92,799.29
TX2501016012,2025-01-01,Beef Mince,Fresh,Polokwane,Limpopo,12,1158.73,707.94,1231.5
TX2501017943,2025-01-01,Beef Mince,Fresh,Polokwane,Limpopo,10,911.05,564.2,849.33
TX2501015508,2025-01-01,Lamb Stew,RTE,Nelspruit,Mpumalanga,14,1570.23,968.71,1532.87
TX2501026671,2025-01-02,Beef Mince,Fresh,Johannesburg,Gauteng,3,273.25,155.12,298.49
TX2501027877,2025-01-02,Beef Mince,Fresh,Nelspruit,Mpumalanga,7,649.43,433.05,677.6
TX2501025043,2025-01-02,Rump Steak,Fresh,Nelspruit,Mpumalanga,10,1295.51,887.93,1284.05
TX2501025921,2025-01-02,Lamb Stew,RTE,Polokwane,Limpopo,14,1552.2,1053.16,1632.45
TX2501027474,2025-01-02,Boerewors,Processed,Pretoria,Gauteng,13,855.76,545.65,881.41
TX2501022614,2025-01-02,Lamb Stew,RTE,Polokwane,Limpopo,12,1259.49,,1169.95
TX2501021930,2025-01-02,Chicken Wings,Fresh,Johannesburg,Gauteng,6,319.13,219.81,324.3
TX2501022363,2025-01-02,Chicken Wings,Fresh,Pretoria,Gauteng,15,785.63,488.93,830.06
TX2501021744,2025-01-02,Rump Steak,Fresh,Polokwane,Limpopo,21,2832.37,1956.24,2873.0
TX2501025904,2025-01-02,Pork Chops,Fresh,Pretoria,Gauteng,13,996.92,613.94,901.54
TX2501028435,2025-01-02,Pork Chops,Fresh,Pretoria,Gauteng,12,902.33,571.27,831.69
